recording,burst_idx,start_s,end_s,duration_s,snr_peak_over_noise,flag
2026-07-23_134728,-1,,,,,DEAD_FILE_no_signal
2026-07-23_134851,1,5.907,6.273,0.366,20.8,
2026-07-23_134851,2,7.093,7.463,0.382,20.7,
2026-07-23_134851,3,8.455,9.812,1.354,24.0,
2026-07-23_134851,4,11.037,12.316,1.276,27.0,
2026-07-23_134851,5,14.885,16.122,1.238,20.1,
2026-07-23_134851,6,17.582,18.94,1.356,29.5,
2026-07-23_134851,7,20.218,21.554,1.336,34.1,
2026-07-23_134851,8,22.851,24.227,1.382,35.1,
2026-07-23_134851,9,25.572,26.92,1.344,32.5,
2026-07-23_134851,10,27.919,29.296,1.378,25.2,
2026-07-23_134851,11,30.208,31.797,1.598,29.2,
2026-07-23_134851,12,32.969,34.37,1.402,27.8,
2026-07-23_134851,13,35.526,36.602,1.076,25.1,
2026-07-23_134851,14,37.888,39.207,1.314,26.8,
2026-07-23_134851,15,40.292,41.629,1.338,27.2,
2026-07-23_134851,16,42.581,42.672,0.1,6.5,
2026-07-23_171239,1,1.783,1.945,0.164,21.0,
2026-07-23_171239,2,4.753,5.083,0.33,18.2,
2026-07-23_171239,3,5.644,6.03,0.388,21.9,
2026-07-23_171239,4,7.204,8.064,0.86,19.9,
2026-07-23_171239,5,8.281,11.4,3.118,31.1,
2026-07-23_171239,6,11.53,12.801,1.26,23.7,
2026-07-23_171239,7,13.722,14.102,0.38,17.1,
2026-07-23_171239,8,14.23,14.422,0.192,7.9,
2026-07-23_171239,9,14.953,15.024,0.072,4.6,
2026-07-23_171239,10,16.243,16.433,0.182,5.4,
2026-07-23_171239,11,18.288,18.44,0.136,22.4,
2026-07-23_171239,12,19.7,19.836,0.136,6.9,
2026-07-23_171239,13,20.903,21.036,0.134,23.4,
2026-07-23_171239,14,21.62,22.012,0.382,24.0,
2026-07-23_171239,15,22.166,22.601,0.436,23.5,
2026-07-23_171239,16,25.196,25.468,0.272,7.9,
2026-07-23_171239,17,25.886,26.355,0.47,23.5,
2026-07-23_171239,18,27.121,27.218,0.094,19.6,
2026-07-23_171239,19,27.593,27.941,0.356,10.1,
2026-07-23_171239,20,28.449,28.622,0.154,8.5,
2026-07-23_171239,21,28.978,29.254,0.27,11.2,
2026-07-23_171239,22,29.924,30.318,0.394,32.8,
2026-07-23_171239,23,30.948,31.434,0.48,13.4,
2026-07-23_171239,24,35.362,35.664,0.3,7.8,
2026-07-23_171239,25,37.378,37.584,0.21,5.4,
2026-07-23_182349,1,0.0,0.886,0.886,6.7,
2026-07-23_182349,2,1.056,1.838,0.786,6.2,
2026-07-23_182349,3,1.992,3.241,1.248,11.1,
2026-07-23_182349,4,3.594,4.499,0.904,10.8,
2026-07-23_182349,5,5.285,6.095,0.81,9.9,
2026-07-23_182349,6,6.472,6.693,0.22,3.8,WEAK
2026-07-23_182349,7,7.514,7.853,0.34,6.2,
2026-07-23_182349,8,8.015,8.156,0.142,4.7,
2026-07-23_182349,9,8.292,8.404,0.102,6.1,
2026-07-23_182349,10,8.514,9.274,0.76,11.1,
2026-07-23_182349,11,10.218,11.227,1.008,9.1,
2026-07-23_182349,12,11.414,12.235,0.82,4.2,
2026-07-23_182349,13,12.432,12.776,0.344,4.2,
2026-07-23_182349,14,13.152,14.076,0.924,11.1,
2026-07-23_182349,15,14.233,14.306,0.072,6.4,
2026-07-23_182349,16,14.899,15.0,0.102,6.5,
2026-07-23_182349,17,19.596,19.746,0.15,13.7,
2026-07-23_182349,18,20.426,21.108,0.688,10.4,
2026-07-23_182349,19,21.278,22.296,1.022,7.9,
2026-07-23_182349,20,22.752,23.274,0.522,6.9,
2026-07-23_182349,21,23.517,23.815,0.298,6.8,
2026-07-23_182349,22,23.971,24.831,0.858,7.1,
2026-07-23_182349,23,25.461,25.59,0.13,3.8,WEAK
2026-07-23_182349,24,25.822,25.989,0.164,24.6,
2026-07-23_182349,25,26.356,27.27,0.914,15.2,
2026-07-23_182349,26,27.422,27.522,0.102,12.5,
2026-07-23_182349,27,27.876,28.054,0.176,3.5,WEAK
2026-07-23_182349,28,29.738,29.812,0.074,3.4,WEAK
2026-07-23_182349,29,31.592,31.794,0.202,4.7,
2026-07-23_182349,30,32.498,32.652,0.156,3.3,WEAK
2026-07-23_182349,31,33.008,33.172,0.164,5.0,
2026-07-23_182349,32,34.174,34.353,0.18,4.1,
2026-07-23_182349,33,36.858,37.074,0.216,6.5,
2026-07-23_185723,1,0.169,0.265,0.096,4.5,
2026-07-23_185723,2,1.363,1.465,0.11,4.4,
2026-07-23_185723,3,1.906,2.184,0.278,7.8,
2026-07-23_185723,4,2.712,2.866,0.156,7.5,
2026-07-23_185723,5,3.727,4.066,0.352,8.0,
2026-07-23_185723,6,4.201,4.304,0.104,7.3,
2026-07-23_185723,7,4.829,5.064,0.236,8.0,
2026-07-23_185723,8,8.728,8.844,0.118,5.0,
2026-07-23_185723,9,9.213,9.39,0.174,4.5,
2026-07-23_185723,10,9.772,10.109,0.334,4.4,
2026-07-23_185723,11,10.99,11.26,0.27,23.9,
2026-07-23_185723,12,11.567,11.685,0.118,20.5,
2026-07-23_185723,13,11.937,12.078,0.14,19.8,
2026-07-23_185723,14,12.357,12.71,0.348,24.0,
2026-07-23_185723,15,12.831,13.451,0.62,30.9,
2026-07-23_185723,16,13.669,14.368,0.7,13.0,
2026-07-23_185723,17,15.795,15.929,0.134,7.9,
2026-07-23_185723,18,16.069,16.237,0.16,8.8,
2026-07-23_185723,19,16.566,16.996,0.428,15.3,
2026-07-23_185723,20,17.213,17.423,0.21,20.6,
2026-07-23_185723,21,17.589,18.151,0.562,38.6,
2026-07-23_185723,22,19.034,19.58,0.546,28.4,
2026-07-23_185723,23,20.176,20.243,0.072,12.8,
2026-07-23_185723,24,20.783,21.027,0.244,30.7,
2026-07-23_185723,25,21.345,22.402,1.056,20.8,
2026-07-23_185723,26,22.646,22.888,0.242,31.2,
2026-07-23_185723,27,23.991,25.628,1.634,12.7,
2026-07-23_185723,28,25.946,26.484,0.54,16.0,
2026-07-23_185723,29,26.968,27.544,0.578,11.6,
2026-07-23_185723,30,27.727,28.728,0.998,12.2,
2026-07-23_185723,31,28.935,29.587,0.652,11.0,
2026-07-23_185723,32,30.023,30.809,0.786,11.7,
2026-07-23_185723,33,31.005,31.708,0.698,11.7,
2026-07-23_185723,34,32.005,32.448,0.446,13.1,
2026-07-23_185723,35,32.569,32.686,0.116,8.2,
2026-07-23_185723,36,33.96,34.107,0.146,10.1,
2026-07-23_185723,37,34.493,34.647,0.158,8.3,
2026-07-23_185723,38,35.769,35.967,0.198,8.2,
2026-07-23_185723,39,37.645,37.825,0.182,7.9,
2026-07-23_185723,40,38.644,38.725,0.08,7.8,
2026-07-23_185723,41,39.05,39.248,0.19,8.4,
2026-07-23_185723,42,39.673,39.76,0.076,5.7,
2026-07-23_185723,43,41.204,41.329,0.124,7.8,
2026-07-23_185723,44,43.187,43.266,0.08,6.1,
2026-07-23_185816,1,0.083,2.104,2.024,5.7,
2026-07-23_185816,2,3.003,3.363,0.356,3.4,WEAK
2026-07-23_185816,3,3.757,4.876,1.112,5.6,
2026-07-23_185816,4,5.54,7.025,1.484,5.1,
2026-07-23_185816,5,7.16,8.871,1.71,5.1,
2026-07-23_185816,6,9.044,9.998,0.954,3.5,WEAK
2026-07-23_185816,7,10.148,10.347,0.196,5.4,
2026-07-23_185816,8,10.685,11.111,0.43,4.8,
2026-07-23_185816,9,11.444,12.608,1.168,4.3,
