host_time_s,chA_raw,chB_env
1784828848.6987,0,0
1784828848.7004,0,0
1784828848.7021,0,0
1784828848.7039,0,0
1784828848.7056,0,0
1784828848.7073,0,0
1784828848.7090,0,0
1784828848.7107,0,0
1784828848.7124,0,0
1784828848.7141,0,0
1784828848.7158,0,0
1784828848.7175,0,0
1784828848.7425,0,0
1784828848.7426,0,0
1784828848.7427,0,0
1784828848.7427,0,0
1784828848.7428,0,0
1784828848.7429,0,0
1784828848.7429,0,0
1784828848.7430,0,0
1784828848.7430,0,0
1784828848.7431,0,0
1784828848.7432,0,0
1784828848.7432,0,0
1784828848.7433,0,0
1784828848.7452,0,0
1784828848.7472,0,0
1784828848.7491,0,0
1784828848.7511,0,0
1784828848.7530,0,0
1784828848.7550,0,0
1784828848.7569,0,0
1784828848.7589,0,0
1784828848.7608,0,0
1784828848.7628,0,0
1784828848.7647,0,0
1784828848.7667,0,0
1784828848.7686,0,0
1784828848.7707,0,0
1784828848.7727,0,0
1784828848.7747,0,0
1784828848.7767,0,0
1784828848.7787,0,0
1784828848.7807,0,0
1784828848.7827,0,0
1784828848.7847,0,0
1784828848.7867,0,0
1784828848.7887,0,0
1784828848.7907,0,0
1784828848.7927,0,0
1784828848.7947,0,0
1784828848.7966,0,0
1784828848.7986,0,0
1784828848.8005,0,0
1784828848.8024,0,0
1784828848.8044,0,0
1784828848.8063,0,0
1784828848.8082,0,0
1784828848.8101,0,0
1784828848.8121,0,0
1784828848.8140,0,0
1784828848.8159,0,0
1784828848.8179,0,0
1784828848.8198,0,0
1784828848.8219,0,0
1784828848.8240,0,0
1784828848.8261,0,0
1784828848.8282,0,0
1784828848.8303,0,0
1784828848.8324,0,0
1784828848.8345,0,0
1784828848.8366,0,0
1784828848.8387,0,0
1784828848.8408,0,0
1784828848.8429,0,0
1784828848.8450,0,0
1784828848.8701,0,0
1784828848.8702,0,0
1784828848.8702,0,0
1784828848.8703,0,0
1784828848.8703,0,0
1784828848.8704,0,0
1784828848.8704,0,0
1784828848.8705,0,0
1784828848.8705,0,0
1784828848.8706,0,0
1784828848.8706,0,0
1784828848.8706,0,0
1784828848.8707,0,0
1784828848.8727,0,0
1784828848.8747,0,0
1784828848.8767,0,0
1784828848.8787,0,0
1784828848.8807,0,0
1784828848.8827,0,0
1784828848.8847,0,0
1784828848.8867,0,0
1784828848.8887,0,0
1784828848.8907,0,0
1784828848.8927,0,0
1784828848.8947,0,0
1784828848.8967,0,0
1784828848.8987,0,0
1784828848.9007,0,0
1784828848.9027,0,0
1784828848.9047,0,0
1784828848.9068,0,0
1784828848.9088,0,0
1784828848.9108,0,0
1784828848.9128,0,0
1784828848.9148,0,0
1784828848.9168,0,0
1784828848.9188,0,0
1784828848.9209,0,0
1784828848.9229,0,0
1784828848.9247,0,0
1784828848.9266,0,0
1784828848.9284,0,0
1784828848.9303,0,0
1784828848.9321,0,0
1784828848.9340,0,0
1784828848.9358,0,0
1784828848.9377,0,0
1784828848.9396,0,0
1784828848.9414,0,0
1784828848.9433,0,0
1784828848.9451,0,0
1784828848.9470,0,0
1784828848.9491,0,0
1784828848.9513,0,0
1784828848.9535,0,0
1784828848.9556,0,0
1784828848.9578,0,0
1784828848.9600,0,0
1784828848.9621,0,0
1784828848.9643,0,0
1784828848.9665,0,0
1784828848.9686,0,0
1784828848.9708,0,0
1784828848.9730,0,0
1784828848.9982,0,0
1784828848.9983,0,0
1784828848.9983,0,0
1784828848.9984,0,0
1784828848.9984,0,0
1784828848.9984,0,0
1784828848.9985,0,0
1784828848.9985,0,0
1784828848.9986,0,0
1784828848.9986,0,0
1784828848.9986,0,0
1784828848.9987,0,0
1784828848.9987,0,0
1784828849.0007,0,0
1784828849.0028,0,0
1784828849.0048,0,0
1784828849.0068,0,0
1784828849.0088,0,0
1784828849.0108,0,0
1784828849.0128,0,0
1784828849.0148,0,0
1784828849.0168,0,0
1784828849.0188,0,0
1784828849.0208,0,0
1784828849.0229,0,0
1784828849.0249,0,0
1784828849.0269,0,0
1784828849.0289,0,0
1784828849.0309,0,0
1784828849.0330,0,0
1784828849.0350,0,0
1784828849.0370,0,0
1784828849.0390,0,0
1784828849.0410,0,0
1784828849.0431,0,0
1784828849.0451,0,0
1784828849.0471,0,0
1784828849.0491,0,0
1784828849.0512,0,0
1784828849.0532,0,0
1784828849.0552,0,0
1784828849.0572,0,0
1784828849.0592,0,0
1784828849.0613,0,0
1784828849.0633,0,0
1784828849.0653,0,0
1784828849.0673,0,0
1784828849.0694,0,0
1784828849.0714,0,0
1784828849.0734,0,0
1784828849.0754,0,0
1784828849.0774,0,0
1784828849.0794,0,0
1784828849.0814,0,0
1784828849.0833,0,0
1784828849.0853,0,0
1784828849.0873,0,0
1784828849.0892,0,0
1784828849.0912,0,0
1784828849.0932,0,0
1784828849.0951,0,0
1784828849.0971,0,0
1784828849.0990,0,0
1784828849.1010,0,0
1784828849.1262,0,0
1784828849.1262,0,0
1784828849.1263,0,0
1784828849.1264,0,0
1784828849.1264,0,0
1784828849.1265,0,0
1784828849.1266,0,0
1784828849.1267,0,0
1784828849.1267,0,0
1784828849.1268,0,0
1784828849.1269,0,0
1784828849.1269,0,0
1784828849.1270,0,0
1784828849.1290,0,0
1784828849.1310,0,0
1784828849.1330,0,0
1784828849.1350,0,0
1784828849.1370,0,0
1784828849.1390,0,0
1784828849.1410,0,0
1784828849.1430,0,0
1784828849.1450,0,0
1784828849.1470,0,0
1784828849.1490,0,0
1784828849.1510,0,0
1784828849.1530,0,0
1784828849.1550,0,0
1784828849.1570,0,0
1784828849.1590,0,0
1784828849.1610,0,0
1784828849.1630,0,0
1784828849.1650,0,0
1784828849.1670,0,0
1784828849.1690,0,0
1784828849.1711,0,0
1784828849.1731,0,0
1784828849.1751,0,0
1784828849.1771,0,0
1784828849.1791,0,0
1784828849.1811,0,0
1784828849.1831,0,0
1784828849.1851,0,0
1784828849.1871,0,0
1784828849.1891,0,0
1784828849.1911,0,0
1784828849.1931,0,0
1784828849.1951,0,0
1784828849.1971,0,0
1784828849.1991,0,0
1784828849.2011,0,0
1784828849.2031,0,0
1784828849.2051,0,0
1784828849.2071,0,0
1784828849.2091,0,0
1784828849.2111,0,0
1784828849.2131,0,0
1784828849.2151,0,0
1784828849.2171,0,0
1784828849.2191,0,0
1784828849.2211,0,0
1784828849.2231,0,0
1784828849.2251,0,0
1784828849.2271,0,0
1784828849.2291,0,0
1784828849.2311,0,0
1784828849.2331,0,0
1784828849.2351,0,0
1784828849.2371,0,0
1784828849.2391,0,0
1784828849.2411,0,0
1784828849.2431,0,0
1784828849.2451,0,0
1784828849.2471,0,0
1784828849.2491,0,0
1784828849.2511,0,0
1784828849.2531,0,0
1784828849.2551,0,0
1784828849.2571,0,0
1784828849.2591,0,0
1784828849.2611,0,0
1784828849.2631,0,0
1784828849.2651,0,0
1784828849.2671,0,0
1784828849.2691,0,0
1784828849.2712,0,0
1784828849.2732,0,0
1784828849.2752,0,0
1784828849.2772,0,0
1784828849.2792,0,0
1784828849.2812,0,0
1784828849.2832,0,0
1784828849.2852,0,0
1784828849.2872,0,0
1784828849.2892,0,0
1784828849.2912,0,0
1784828849.2932,0,0
1784828849.2952,0,0
1784828849.2972,0,0
1784828849.2992,0,0
1784828849.3012,0,0
1784828849.3032,0,0
1784828849.3052,0,0
1784828849.3072,0,0
1784828849.3092,0,0
1784828849.3112,0,0
1784828849.3132,0,0
1784828849.3152,0,0
1784828849.3172,0,0
1784828849.3192,0,0
1784828849.3212,0,0
1784828849.3232,0,0
1784828849.3252,0,0
1784828849.3272,0,0
1784828849.3292,0,0
1784828849.3312,0,0
1784828849.3332,0,0
1784828849.3352,0,0
1784828849.3372,0,0
1784828849.3392,0,0
1784828849.3412,0,0
1784828849.3432,0,0
1784828849.3452,0,0
1784828849.3472,0,0
1784828849.3492,0,0
1784828849.3512,0,0
