host_time_s,chA_raw,chB_env,env,intent
1784847577.1256,0,0,10,0
1784847577.1269,0,0,10,0
1784847577.1282,0,0,10,0
1784847577.1295,0,0,10,0
1784847577.1308,0,0,10,0
1784847577.1321,0,0,10,0
1784847577.1342,0,0,10,0
1784847577.1363,0,0,10,0
1784847577.1384,0,0,10,0
1784847577.1404,0,0,10,0
1784847577.1425,0,0,10,0
1784847577.1446,0,0,10,0
1784847577.1469,0,0,10,0
1784847577.1491,0,0,10,0
1784847577.1514,0,0,10,0
1784847577.1536,0,0,10,0
1784847577.1559,0,0,10,0
1784847577.1581,0,0,10,0
1784847577.1604,0,0,10,0
1784847577.1620,0,0,10,0
1784847577.1636,0,0,10,0
1784847577.1651,0,0,10,0
1784847577.1667,0,0,10,0
1784847577.1683,0,0,10,0
1784847577.1699,0,0,10,0
1784847577.1717,0,0,10,0
1784847577.1735,0,0,10,0
1784847577.1753,0,0,10,0
1784847577.1772,0,0,10,0
1784847577.1790,0,0,10,0
1784847577.1808,0,0,10,0
1784847577.1826,0,0,10,0
1784847577.1849,0,0,10,0
1784847577.1871,0,0,10,0
1784847577.1894,0,0,10,0
1784847577.1916,0,0,10,0
1784847577.1939,0,0,10,0
1784847577.1961,0,0,10,0
1784847577.1981,0,0,10,0
1784847577.2001,0,0,10,0
1784847577.2021,0,0,10,0
1784847577.2041,0,0,10,0
1784847577.2061,0,0,10,0
1784847577.2081,0,0,10,0
1784847577.2107,0,0,10,0
1784847577.2133,0,0,10,0
1784847577.2159,0,0,10,0
1784847577.2185,0,0,10,0
1784847577.2212,0,0,10,0
1784847577.2238,0,0,10,0
1784847577.2264,0,0,10,0
1784847577.2290,0,0,10,0
1784847577.2316,0,0,10,0
1784847577.2342,0,0,10,0
1784847577.2368,0,0,10,0
1784847577.2394,0,0,10,0
1784847577.2420,0,0,10,0
1784847577.2435,0,0,10,0
1784847577.2450,0,0,10,0
1784847577.2465,0,0,10,0
1784847577.2480,0,0,10,0
1784847577.2495,0,0,10,0
1784847577.2510,0,0,10,0
1784847577.2524,0,0,10,0
1784847577.2537,0,0,10,0
1784847577.2549,0,0,10,0
1784847577.2562,0,0,10,0
1784847577.2574,0,0,10,0
1784847577.2587,0,0,10,0
1784847577.2599,0,0,10,0
1784847577.2620,0,0,10,0
1784847577.2641,0,0,10,0
1784847577.2662,0,0,10,0
1784847577.2682,0,0,10,0
1784847577.2703,0,0,10,0
1784847577.2724,0,0,10,0
1784847577.2745,0,0,10,0
1784847577.2766,0,0,10,0
1784847577.2787,0,0,10,0
1784847577.2808,0,0,10,0
1784847577.2829,0,0,10,0
1784847577.2850,0,0,10,0
1784847577.2871,0,0,10,0
1784847577.2892,0,0,10,0
1784847577.2913,0,0,10,0
1784847577.2934,0,0,10,0
1784847577.2955,0,0,10,0
1784847577.2976,0,0,10,0
1784847577.2997,0,0,10,0
1784847577.3018,0,0,10,0
1784847577.3039,0,0,10,0
1784847577.3060,0,0,10,0
1784847577.3080,0,0,10,0
1784847577.3101,0,0,10,0
1784847577.3122,0,0,10,0
1784847577.3143,0,0,10,0
1784847577.3164,0,0,10,0
1784847577.3185,0,0,10,0
1784847577.3206,0,0,10,0
1784847577.3227,0,0,10,0
1784847577.3248,0,0,10,0
1784847577.3269,0,0,10,0
1784847577.3290,0,0,10,0
1784847577.3311,0,0,10,0
1784847577.3332,0,0,10,0
1784847577.3353,0,0,10,0
1784847577.3374,0,0,10,0
1784847577.3395,0,0,10,0
1784847577.3416,0,0,10,0
1784847577.3437,0,0,10,0
1784847577.3458,0,0,10,0
1784847577.3479,0,0,10,0
