host_time_s,chA_raw,chB_env
1784660000.0000,497,3066
1784660000.0026,502,3068
1784660000.0051,496,3056
1784660000.0074,499,3061
1784660000.0097,504,3057
1784660000.0123,490,3055
1784660000.0147,491,3021
1784660000.0171,502,3049
1784660000.0199,496,3029
1784660000.0224,500,3042
1784660000.0251,489,3059
1784660000.0276,497,3069
1784660000.0302,496,3033
1784660000.0329,496,3051
1784660000.0352,493,3063
1784660000.0377,503,3037
1784660000.0402,505,3042
1784660000.0426,492,3061
1784660000.0449,503,3057
1784660000.0472,488,3074
1784660000.0496,496,3047
1784660000.0523,503,3059
1784660000.0550,488,3047
1784660000.0574,503,3036
1784660000.0600,506,3067
1784660000.0627,542,3074
1784660000.0649,505,3052
1784660000.0676,500,3103
1784660000.0701,503,3082
1784660000.0728,487,3051
1784660000.0752,487,3054
1784660000.0777,506,3058
1784660000.0802,496,3084
1784660000.0826,493,3047
1784660000.0851,500,3062
1784660000.0878,496,3069
1784660000.0902,501,3053
1784660000.0926,493,3048
1784660000.0950,496,3048
1784660000.0972,513,3040
1784660000.0998,490,3060
1784660000.1020,492,3051
1784660000.1046,483,3050
1784660000.1074,501,3050
1784660000.1101,498,3054
1784660000.1126,499,3062
1784660000.1153,507,3048
1784660000.1177,503,3054
1784660000.1204,492,3028
1784660000.1231,502,3048
1784660000.1256,490,3038
1784660000.1280,497,3071
1784660000.1303,501,3033
1784660000.1328,499,3055
1784660000.1352,502,3059
1784660000.1379,498,3074
1784660000.1402,487,3042
1784660000.1426,497,3038
1784660000.1448,507,3027
1784660000.1474,500,3039
1784660000.1498,538,3047
1784660000.1525,502,3048
1784660000.1551,497,3069
1784660000.1576,495,3038
1784660000.1602,489,3062
1784660000.1625,494,3049
1784660000.1650,520,3064
1784660000.1673,500,3072
1784660000.1701,487,3048
1784660000.1728,488,3048
1784660000.1755,505,3061
1784660000.1781,492,3047
1784660000.1804,500,3031
1784660000.1829,501,3055
1784660000.1855,501,3068
1784660000.1880,505,3062
1784660000.1908,501,3046
1784660000.1933,497,3067
1784660000.1959,507,3080
1784660000.1982,500,3065
1784660000.2005,489,3064
1784660000.2031,489,3023
1784660000.2057,499,3079
1784660000.2081,499,3029
1784660000.2108,503,3071
1784660000.2133,496,3050
1784660000.2161,505,3051
1784660000.2183,493,3042
1784660000.2206,493,3061
1784660000.2231,497,3044
1784660000.2255,494,3036
1784660000.2280,494,3050
1784660000.2303,497,3021
1784660000.2327,501,3044
1784660000.2351,497,3054
1784660000.2378,492,3041
1784660000.2754,498,3026
1784660000.2778,497,3037
1784660000.2805,502,3055
1784660000.2827,496,3042
1784660000.2851,499,3071
1784660000.2876,507,3080
1784660000.2900,508,3048
1784660000.2927,505,3049
1784660000.2949,500,3050
1784660000.2977,503,3044
1784660000.3003,488,3031
1784660000.3026,499,3058
1784660000.3051,494,3056
1784660000.3079,491,3058
1784660000.3102,504,3053
1784660000.3129,500,3057
1784660000.3152,506,3044
1784660000.3176,501,3021
1784660000.3203,496,3040
1784660000.3225,487,3060
1784660000.3251,511,3058
1784660000.3275,502,3071
1784660000.3301,502,3048
1784660000.3326,489,3043
1784660000.3351,491,3032
1784660000.3375,499,3051
1784660000.3401,498,3057
1784660000.3425,531,3050
1784660000.3450,498,3051
1784660000.3473,498,3068
1784660000.4256,503,3059
1784660000.4279,491,3061
1784660000.4304,497,3040
1784660000.4331,503,3055
1784660000.4358,494,3041
1784660000.4384,507,3044
1784660000.4411,491,3052
1784660000.4438,498,3046
1784660000.4463,496,3057
1784660000.4488,487,3051
1784660000.4510,492,3082
1784660000.4537,493,3065
1784660000.4564,500,3052
1784660000.4586,492,3042
1784660000.4609,508,3060
1784660000.4637,490,3049
1784660000.4661,491,3048
1784660000.4686,510,3031
1784660000.5059,495,3052
1784660000.5083,496,3040
1784660000.5110,492,3075
1784660000.5137,496,3065
1784660000.5161,500,3096
1784660000.5183,493,3042
1784660000.5211,501,3058
1784660000.5233,494,3034
1784660000.5260,497,3054
1784660000.5285,492,3031
1784660000.5308,502,3078
1784660000.5332,501,3048
1784660000.5358,503,3026
1784660000.5381,493,3067
1784660000.5405,491,3030
1784660000.5429,501,3060
1784660000.5455,495,3051
1784660000.5478,493,3043
1784660000.5502,496,3058
1784660000.5528,501,3051
1784660000.5554,492,3054
1784660000.5578,492,3041
1784660000.5601,494,3036
1784660000.5627,508,3069
1784660000.5652,498,3039
1784660000.5678,501,3034
1784660000.5702,506,3075
1784660000.5729,491,3039
1784660000.5753,505,3057
1784660000.5779,502,3023
1784660000.5803,507,3064
1784660000.5827,504,3060
1784660000.5851,497,3074
1784660000.5874,501,3032
1784660000.5899,502,3067
1784660000.5926,499,3057
1784660000.5953,501,3052
1784660000.5977,500,3031
1784660000.6002,494,3046
1784660000.6025,493,3064
1784660000.6050,499,3049
1784660000.6074,505,3038
1784660000.6096,508,3054
1784660000.6120,504,3058
1784660000.6143,497,3031
1784660000.6166,498,3039
1784660000.6193,511,3053
1784660000.6217,496,3068
1784660000.6245,500,3050
1784660000.6267,497,3025
1784660000.6294,491,3038
1784660000.6318,491,3055
1784660000.6345,500,3041
1784660000.6372,491,3072
1784660000.6398,493,3043
1784660000.6420,493,3063
1784660000.6442,495,3054
1784660000.6465,486,3049
1784660000.6492,499,3032
1784660000.6516,499,3041
1784660000.6539,500,3040
1784660000.6565,489,3038
1784660000.6589,489,3061
1784660000.6614,495,3043
1784660000.6639,493,3045
1784660000.6662,495,3058
1784660000.6685,485,3037
1784660000.6708,503,3045
1784660000.6733,508,3039
1784660000.6761,499,3063
1784660000.6785,493,3049
1784660000.6808,497,3047
1784660000.6834,492,3034
1784660000.6862,489,3058
1784660000.6889,504,3042
1784660000.6914,507,3036
1784660000.6940,507,3029
1784660000.6963,494,3026
1784660000.6989,497,3021
1784660000.7015,498,3048
1784660000.7041,555,3034
1784660000.7069,498,3052
1784660000.7094,494,3057
1784660000.7121,496,3040
1784660000.7143,499,3083
1784660000.7171,502,3052
1784660000.7198,493,3046
1784660000.7221,506,3073
1784660000.7246,491,3046
1784660000.7274,488,3060
1784660000.7297,500,3044
1784660000.7324,501,3059
1784660000.7347,502,3052
1784660000.7369,504,3037
1784660000.7396,490,3054
1784660000.7420,500,3069
1784660000.8103,495,3065
1784660000.8125,499,3050
1784660000.8148,487,3066
1784660000.8170,494,3046
1784660000.8196,501,3060
1784660000.8221,501,3054
1784660000.8245,505,3051
1784660000.8272,503,3047
1784660000.8296,497,3052
1784660000.8323,491,3047
1784660000.8349,497,3077
1784660000.8377,503,3037
1784660000.8403,497,3038
1784660000.8427,510,3027
1784660000.8450,501,3037
1784660000.8475,499,3045
1784660000.8497,499,3086
1784660000.8522,500,3055
1784660000.8544,500,3030
1784660000.8572,506,3056
1784660000.8596,495,3057
1784660000.8622,496,3031
1784660000.8645,491,3049
1784660000.8670,502,3052
1784660000.8698,506,3068
1784660000.8723,499,3057
1784660000.8747,492,3060
1784660000.8775,499,3086
1784660000.8799,484,3062
1784660000.8827,493,3039
1784660000.8854,504,3067
1784660000.8877,512,3052
1784660000.8905,499,3038
1784660000.8928,494,3040
1784660000.8955,486,3045
1784660000.8983,493,3056
1784660000.9007,498,3060
1784660000.9035,502,3051
1784660000.9060,494,3055
1784660000.9085,502,3068
1784660000.9110,500,3065
1784660000.9135,500,3024
1784660000.9162,515,3051
1784660000.9187,496,3055
1784660000.9210,496,3056
1784660000.9233,498,3029
1784660000.9260,505,3042
1784660000.9285,502,3069
1784660000.9308,499,3052
1784660000.9331,496,3033
1784660000.9353,504,3048
1784660000.9375,508,3065
1784660000.9400,498,3045
1784660000.9428,497,3034
1784660000.9450,494,3078
1784660000.9475,495,3028
1784660000.9498,499,3065
1784660000.9520,496,3039
1784660000.9543,495,3038
1784660000.9568,496,3051
1784660000.9596,501,3067
