host_time_s,chA_raw,chB_env
1784660000.0000,485,3044
1784660000.0028,502,3075
1784660000.0051,503,3041
1784660000.0077,505,3048
1784660000.0101,501,3063
1784660000.0124,500,3073
1784660000.0147,501,3034
1784660000.0172,501,3055
1784660000.0195,495,3059
1784660000.0219,485,3068
1784660000.0247,500,3038
1784660000.0270,504,3035
1784660000.0296,493,3032
1784660000.0318,496,3029
1784660000.0345,494,3055
1784660000.0371,503,3053
1784660000.0397,493,3050
1784660000.0421,504,3043
1784660000.0446,500,3050
1784660000.0471,536,3060
1784660000.0497,487,3044
1784660000.0523,491,3059
1784660000.0546,494,3035
1784660000.0570,502,3047
1784660000.0593,497,3037
1784660000.0621,502,3077
1784660000.0648,504,3029
1784660000.0675,483,3057
1784660000.0699,497,3039
1784660000.0722,501,3034
1784660000.0747,497,3046
1784660000.0772,496,3048
1784660000.0795,501,3058
1784660000.0823,497,3051
1784660000.0849,504,3092
1784660000.0872,495,3062
1784660000.0897,494,3052
1784660000.0920,490,3080
1784660000.0944,500,3024
1784660000.0966,493,3049
1784660000.0991,502,3064
1784660000.1016,499,3056
1784660000.1042,502,3021
1784660000.1065,498,3033
1784660000.1090,487,3037
1784660000.1117,498,3036
1784660000.1140,497,3048
1784660000.1168,494,3042
1784660000.1190,504,3056
1784660000.1217,504,3064
1784660000.1243,550,3057
1784660000.1268,490,3044
1784660000.1292,502,3053
1784660000.1318,498,3059
1784660000.1342,506,3053
1784660000.1368,492,3049
1784660000.1392,498,3042
1784660000.1417,489,3040
1784660000.1442,512,3055
1784660000.1466,509,3058
1784660000.1490,489,3057
1784660000.1516,493,3047
1784660000.1541,505,3077
1784660000.1566,494,3022
1784660000.1592,498,3053
1784660000.1617,495,3073
1784660000.1641,493,3052
1784660000.1668,493,3054
1784660000.1692,486,3039
1784660000.1719,498,3034
1784660000.1742,504,3046
1784660000.1768,499,3020
1784660000.1793,498,3055
1784660000.1815,501,3058
1784660000.1838,499,3067
1784660000.1861,494,3056
1784660000.1886,501,3036
1784660000.1910,494,3027
1784660000.1932,492,3056
1784660000.1958,512,3046
1784660000.1984,506,3084
1784660000.2010,494,3038
1784660000.2035,578,3032
1784660000.2060,500,3043
1784660000.2086,479,3053
1784660000.2110,499,3054
1784660000.2135,497,3035
1784660000.2157,497,3053
1784660000.2183,501,3070
1784660000.2210,513,3047
1784660000.2235,508,3059
1784660000.2258,496,3060
1784660000.2284,503,3017
1784660000.2309,489,3090
1784660000.2332,489,3030
1784660000.2357,488,3038
1784660000.2383,493,3055
1784660000.2406,501,3078
1784660000.2432,504,3080
1784660000.2458,495,3064
1784660000.2484,501,3061
1784660000.2511,496,3071
1784660000.2536,501,3036
1784660000.2562,499,3048
1784660000.2586,503,3058
1784660000.2613,507,3055
1784660000.2636,497,3059
1784660000.2662,489,3066
1784660000.2689,488,3067
1784660000.2713,504,3043
1784660000.2739,496,3057
1784660000.2765,500,3059
1784660000.2787,490,3047
1784660000.2811,492,3043
1784660000.2835,507,3053
1784660000.2858,495,3007
1784660000.2884,498,3042
1784660000.2911,507,3044
1784660000.2939,495,3051
1784660000.2961,506,3065
1784660000.2987,496,3053
1784660000.3011,490,3037
1784660000.3034,492,3065
1784660000.3061,511,3050
1784660000.3086,496,3066
1784660000.3108,495,3044
1784660000.3132,508,3075
1784660000.3158,497,3034
1784660000.3183,489,3056
1784660000.3207,497,3043
1784660000.3232,496,3038
1784660000.3256,493,3058
1784660000.3282,496,3056
1784660000.3800,500,3052
1784660000.3827,492,3046
1784660000.3854,500,3046
1784660000.3881,492,3070
1784660000.3905,503,3059
1784660000.3928,495,3077
1784660000.3951,501,3034
1784660000.3975,496,3039
1784660000.4000,492,3059
1784660000.4027,485,3031
1784660000.4055,494,3054
1784660000.4079,503,3052
1784660000.4103,497,3051
1784660000.4127,489,3059
1784660000.4154,499,3070
1784660000.4178,505,3042
1784660000.4201,504,3034
1784660000.4228,499,3056
1784660000.4254,500,3054
1784660000.4279,502,3067
1784660000.4303,505,3080
1784660000.4327,506,3060
1784660000.4353,507,3039
1784660000.4376,493,3043
1784660000.4400,490,3041
1784660000.4428,503,3051
1784660000.4453,501,3057
1784660000.4480,500,3035
1784660000.4504,505,3064
1784660000.4531,504,3049
1784660000.4557,500,3066
1784660000.4584,502,3059
1784660000.4608,498,3050
1784660000.4634,495,3026
1784660000.4662,491,3034
1784660000.4687,504,3069
1784660000.4715,482,3034
1784660000.4742,499,3040
1784660000.4766,496,3061
1784660000.4790,498,3061
1784660000.4816,497,3059
1784660000.4841,485,3042
1784660000.4866,502,3064
1784660000.4889,500,3025
1784660000.4912,491,3058
1784660000.4938,489,3048
1784660000.4963,489,3062
1784660000.4990,501,3065
1784660000.5014,497,3050
1784660000.5038,485,3065
1784660000.5062,511,3043
1784660000.5086,497,3036
1784660000.5110,497,3039
1784660000.5134,497,3059
1784660000.5157,494,3020
1784660000.5184,498,3058
1784660000.5208,505,3053
1784660000.5234,497,3077
1784660000.5256,493,3066
1784660000.5282,497,3063
1784660000.5308,491,3048
1784660000.5332,504,3069
1784660000.5359,494,3048
1784660000.5381,492,3057
1784660000.5403,502,3051
1784660000.5426,496,3084
1784660000.5448,501,3060
1784660000.5476,492,3046
1784660000.5499,490,3035
1784660000.5527,498,3052
1784660000.5554,496,3039
1784660000.5578,501,3035
1784660000.5603,494,3058
1784660000.5630,498,3070
1784660000.5654,496,3047
1784660000.5680,500,3067
1784660000.5706,504,3050
1784660000.5729,491,3039
1784660000.5756,501,3034
1784660000.5783,502,3043
1784660000.5810,504,3050
1784660000.5833,502,3053
1784660000.5856,502,3050
1784660000.5882,504,3077
1784660000.5907,492,3051
1784660000.5931,508,3072
1784660000.5958,484,3063
1784660000.5986,497,3067
1784660000.6008,501,3075
1784660000.6031,494,3041
1784660000.6054,503,3037
1784660000.6080,498,3034
1784660000.6106,512,3052
1784660000.6133,497,3059
1784660000.6159,499,3040
1784660000.6184,500,3049
1784660000.6206,503,3047
1784660000.6229,490,3071
1784660000.6257,496,3027
1784660000.6282,512,3041
1784660000.6308,507,3060
1784660000.6333,500,3065
1784660000.6356,492,3058
1784660000.6384,488,3087
1784660000.6409,503,3048
1784660000.6435,505,3033
1784660000.6461,498,3074
1784660000.6488,503,3049
1784660000.6513,494,3059
1784660000.6537,486,3076
1784660000.6560,496,3046
1784660000.6585,505,3050
1784660000.6612,493,3038
1784660000.6636,502,3070
1784660000.6664,493,3065
1784660000.6689,499,3058
1784660000.6714,492,3043
1784660000.6741,508,3049
1784660000.6768,498,3042
1784660000.6790,496,3062
1784660000.6814,511,3042
1784660000.6837,492,3045
1784660000.6860,505,3048
1784660000.6887,501,3053
1784660000.6913,501,3053
1784660000.6935,505,3029
1784660000.6959,505,3041
1784660000.6985,503,3046
1784660000.7008,505,3023
1784660000.7030,496,3048
1784660000.7056,493,3059
1784660000.7083,501,3047
1784660000.7109,495,3079
1784660000.7132,489,3044
1784660000.7157,488,3058
1784660000.7183,499,3061
1784660000.7207,496,3054
1784660000.7234,504,3078
1784660000.7258,497,3062
1784660000.7284,504,3049
1784660000.7307,496,3067
1784660000.7332,504,3028
1784660000.7359,500,3083
1784660000.7382,510,3042
1784660000.7406,498,3052
1784660000.7432,495,3060
1784660000.7456,508,3044
1784660000.7483,502,3052
1784660000.7509,504,3067
1784660000.7535,490,3049
1784660000.7559,488,3038
1784660000.7582,501,3049
1784660000.7606,505,3040
1784660000.7630,503,3050
1784660000.7656,495,3053
1784660000.7680,502,3055
1784660000.7703,500,3040
1784660000.7730,492,3039
1784660000.7754,502,3061
1784660000.7780,495,3066
1784660000.7805,493,3047
1784660000.7832,500,3047
1784660000.7859,494,3039
1784660000.7883,491,3065
1784660000.7908,502,3039
1784660000.7931,499,3061
1784660000.7959,492,3052
1784660000.7985,497,3025
1784660000.8013,505,3046
1784660000.8282,504,3057
1784660000.8304,503,3043
1784660000.8332,501,3059
1784660000.8354,498,3057
1784660000.8377,490,3052
1784660000.8401,502,3032
1784660000.8426,499,3057
1784660000.8451,495,3044
1784660000.8478,509,3051
1784660000.8502,482,3051
1784660000.8528,500,3073
1784660000.8552,497,3053
1784660000.8577,498,3051
1784660000.8604,495,3028
1784660000.8629,489,3057
1784660000.8654,495,3059
1784660000.8681,493,3057
1784660000.8704,508,3041
1784660000.8728,499,3080
1784660000.8751,494,3069
1784660000.8776,499,3037
1784660000.8799,497,3037
1784660000.8822,502,3048
1784660000.8845,503,3049
1784660000.8871,505,3053
1784660000.8895,505,3043
1784660000.8921,493,3043
1784660000.8945,502,3043
1784660000.8970,491,3044
1784660000.8996,505,3048
1784660000.9021,503,3030
1784660000.9046,499,3054
1784660000.9071,497,3027
1784660000.9098,502,3031
