host_time_s,chA_raw,chB_env
1784660000.0000,495,3078
1784660000.0023,487,3045
1784660000.0046,504,3066
1784660000.0072,495,3039
1784660000.0098,502,3038
1784660000.0122,497,3045
1784660000.0148,504,3051
1784660000.0172,509,3059
1784660000.0198,495,3032
1784660000.0226,498,3047
1784660000.0249,496,3047
1784660000.0271,500,3051
1784660000.0298,496,3034
1784660000.0322,487,3041
1784660000.0349,497,3028
1784660000.0371,505,3056
1784660000.0393,492,3029
1784660000.0417,496,3070
1784660000.0439,501,3053
1784660000.0462,502,3053
1784660000.0489,500,3052
1784660000.0512,502,3052
1784660000.0535,496,3038
1784660000.0563,501,3043
1784660000.0589,511,3046
1784660000.0613,495,3064
1784660000.0639,499,3064
1784660000.0661,507,3063
1784660000.0687,498,3066
1784660000.0714,506,3034
1784660000.0736,503,3046
1784660000.0761,485,3034
1784660000.0784,505,3061
1784660000.0812,495,3059
1784660000.0835,489,3062
1784660000.0858,501,3083
1784660000.1184,496,3044
1784660000.1211,498,3073
1784660000.1236,502,3034
1784660000.1261,489,3037
1784660000.1286,503,3064
1784660000.1313,503,3024
1784660000.1336,507,3048
1784660000.1358,492,3072
1784660000.1382,489,3066
1784660000.1408,498,3053
1784660000.1433,493,3029
1784660000.1461,498,3019
1784660000.1487,501,3056
1784660000.1509,502,3045
1784660000.1531,499,3045
1784660000.1559,502,3049
1784660000.1582,509,3028
1784660000.1606,499,3060
1784660000.1631,506,3053
1784660000.1655,512,3065
1784660000.1680,500,3060
1784660000.1704,496,3058
1784660000.1730,486,3065
1784660000.1753,496,3059
1784660000.1777,500,3058
1784660000.1803,489,3051
1784660000.1825,488,3025
1784660000.1848,507,3043
1784660000.1871,505,3049
1784660000.1898,493,3015
1784660000.1921,496,3053
1784660000.1945,500,3055
1784660000.1973,513,3045
1784660000.1995,500,3082
1784660000.2023,500,3063
1784660000.2046,487,3041
1784660000.2070,510,3050
1784660000.2092,485,3078
1784660000.2114,490,3053
1784660000.2141,491,3017
1784660000.2165,492,3067
1784660000.2193,489,3067
1784660000.2217,493,3053
1784660000.2243,503,3022
1784660000.2265,505,3073
1784660000.2289,487,3036
1784660000.2317,500,3030
1784660000.2341,491,3063
1784660000.2364,500,3060
1784660000.2388,494,3026
1784660000.2412,497,3052
1784660000.2437,500,3044
1784660000.2464,498,3051
1784660000.2487,506,3048
1784660000.2512,495,3031
1784660000.2537,496,3073
1784660000.2564,501,3033
1784660000.2591,491,3024
1784660000.2615,501,3060
1784660000.2643,490,3057
1784660000.2667,493,3037
1784660000.2694,491,3066
1784660000.2722,497,3037
1784660000.2749,509,3054
1784660000.2775,505,3043
1784660000.2802,491,3054
1784660000.2828,494,3045
1784660000.2852,490,3026
1784660000.2875,506,3058
1784660000.2898,501,3032
1784660000.2926,496,3060
1784660000.2954,499,3047
1784660000.2978,490,3026
1784660000.3002,503,3036
1784660000.3024,494,3069
1784660000.3049,504,3036
1784660000.3073,506,3064
1784660000.3098,492,3037
1784660000.3125,502,3061
1784660000.3148,496,3055
1784660000.3173,499,3041
1784660000.3200,493,3043
1784660000.3223,503,3042
1784660000.3246,496,3040
1784660000.3564,589,3048
1784660000.3588,500,3036
1784660000.3616,497,3040
1784660000.3638,507,3043
1784660000.3666,499,3025
1784660000.3689,495,3061
1784660000.3716,491,3033
1784660000.3741,504,3033
1784660000.3768,506,3064
1784660000.3794,505,3049
1784660000.3819,497,3058
1784660000.3847,502,3036
1784660000.3871,494,3059
1784660000.3896,503,3046
1784660000.3923,505,3050
1784660000.3949,489,3053
1784660000.3975,501,3032
1784660000.3997,503,3047
1784660000.4024,497,3042
1784660000.4051,489,3052
1784660000.4076,506,3080
1784660000.4102,492,3051
1784660000.4127,497,3037
1784660000.4155,493,3066
1784660000.4179,497,3046
1784660000.4207,507,3058
1784660000.4233,499,3064
1784660000.4257,489,3057
1784660000.4279,504,3058
1784660000.4303,492,3051
1784660000.4326,501,3063
1784660000.4349,497,3040
1784660000.4374,497,3054
1784660000.4398,498,3045
1784660000.4423,496,3051
1784660000.4448,500,3064
1784660000.4474,494,3058
1784660000.4499,502,3062
1784660000.4526,498,3059
1784660000.4554,511,3049
1784660000.4579,499,3061
1784660000.4604,528,3040
1784660000.4632,493,3055
1784660000.4654,506,3035
1784660000.4678,498,3066
1784660000.4703,521,3054
1784660000.4727,502,3052
1784660000.4752,497,3065
1784660000.4779,495,3076
1784660000.4805,496,3047
1784660000.4830,496,3060
1784660000.4855,492,3036
1784660000.4879,501,3068
1784660000.4904,502,3044
1784660000.4931,505,3064
1784660000.4958,491,3059
1784660000.4980,504,3051
1784660000.5005,500,3047
1784660000.5028,494,3063
1784660000.5052,488,3056
1784660000.5076,500,3032
1784660000.5103,510,3039
1784660000.5128,500,3040
1784660000.5151,498,3032
1784660000.5177,496,3051
1784660000.5201,500,3019
1784660000.5229,496,3071
1784660000.5252,505,3055
1784660000.5274,490,3037
1784660000.5298,500,3059
1784660000.5325,488,3042
1784660000.5349,498,3025
1784660000.5371,488,3068
1784660000.5397,504,3072
1784660000.5422,498,3044
1784660000.5449,498,3046
1784660000.5472,506,3054
1784660000.5496,513,3047
1784660000.6005,491,3035
1784660000.6033,499,3066
1784660000.6061,532,3052
1784660000.6083,502,3068
1784660000.6106,503,3075
1784660000.6133,498,3027
1784660000.6160,498,3024
1784660000.6185,496,3060
1784660000.6210,493,3034
1784660000.6233,495,3051
1784660000.6257,514,3036
1784660000.6283,503,3066
1784660000.6309,499,3054
1784660000.6332,502,3053
1784660000.6358,492,3055
1784660000.6385,491,3053
1784660000.6413,497,3069
1784660000.6437,498,3021
1784660000.6460,501,3065
1784660000.6487,505,3051
1784660000.6512,512,3069
1784660000.6539,495,3059
1784660000.6563,497,3064
1784660000.6589,496,3051
1784660000.6614,498,3068
1784660000.6639,507,3037
1784660000.6667,494,3055
1784660000.6695,496,3030
1784660000.6719,496,3054
1784660000.6745,496,3063
1784660000.6769,497,3060
1784660000.6796,486,3043
1784660000.6822,496,3040
1784660000.6845,505,3046
1784660000.6870,502,3049
1784660000.6895,503,3078
1784660000.6919,486,3069
1784660000.6946,498,3045
1784660000.6971,498,3054
1784660000.6997,492,3061
1784660000.7022,500,3067
1784660000.7046,497,3047
1784660000.7072,497,3075
1784660000.7094,501,3052
1784660000.7116,497,3034
1784660000.7143,497,3041
1784660000.7169,494,3042
1784660000.7191,496,3087
1784660000.7214,493,3070
1784660000.7237,498,3044
1784660000.7265,494,3044
1784660000.7290,500,3045
1784660000.7316,492,3086
1784660000.7340,493,3036
1784660000.7367,493,3015
1784660000.7393,505,3078
1784660000.7416,493,3037
1784660000.7441,499,3024
1784660000.7466,491,3058
1784660000.7488,505,3043
1784660000.7512,498,3054
1784660000.7537,506,3079
1784660000.7560,502,3062
1784660000.7584,491,3048
1784660000.7606,493,3045
1784660000.7629,501,3073
1784660000.7656,497,3040
1784660000.7682,489,3048
1784660000.7708,484,3050
1784660000.7734,507,3072
1784660000.7760,498,3052
1784660000.7785,497,3038
1784660000.7812,497,3051
1784660000.7836,494,3046
1784660000.7858,495,3010
1784660000.7881,492,3062
1784660000.7906,496,3037
1784660000.8078,488,3062
1784660000.8103,495,3038
1784660000.8128,495,3059
1784660000.8154,502,3063
1784660000.8180,494,3035
1784660000.8203,495,3051
1784660000.8228,490,3052
1784660000.8252,497,3035
1784660000.8277,502,3047
1784660000.8302,503,3060
1784660000.8326,497,3063
1784660000.8354,492,3030
1784660000.8382,495,3057
1784660000.8406,503,3048
1784660000.8430,498,3062
1784660000.8457,503,3030
1784660000.8484,494,3032
1784660000.8508,499,3068
1784660000.8532,513,3071
1784660000.8558,493,3066
1784660000.8580,503,3079
1784660000.8607,496,3054
1784660000.8635,507,3036
1784660000.8663,495,3055
1784660000.8685,493,3068
1784660000.8711,509,3032
1784660000.8737,494,3063
1784660000.8760,493,3036
1784660000.8782,497,3056
1784660000.8805,498,3051
1784660000.8828,505,3073
1784660000.8855,489,3066
1784660000.8878,489,3061
1784660000.8903,502,3044
1784660000.8928,497,3056
1784660000.8951,499,3065
1784660000.8974,516,3045
1784660000.9000,492,3056
1784660000.9024,497,3060
1784660000.9051,487,3036
1784660000.9078,495,3049
1784660000.9106,501,3033
1784660000.9130,494,3068
1784660000.9154,498,3057
1784660000.9181,494,3058
1784660000.9205,505,3040
1784660000.9229,493,3080
1784660000.9256,501,3059
1784660000.9279,501,3069
1784660000.9302,499,3043
1784660000.9329,499,3043
1784660000.9354,543,3042
1784660000.9378,493,3059
1784660000.9404,484,3063
1784660000.9426,501,3033
1784660000.9449,500,3051
1784660000.9473,502,3047
1784660000.9499,492,3038
1784660000.9523,502,3036
1784660000.9546,493,3043
1784660000.9744,493,3057
1784660000.9771,503,3043
1784660000.9795,500,3053
1784660000.9821,500,3050
1784660000.9846,510,3050
1784660000.9874,497,3037
1784660000.9898,494,3076
1784660000.9925,485,3029
1784660000.9948,493,3066
1784660000.9974,496,3053
1784660001.0000,499,3042
1784660001.0028,491,3056
1784660001.0051,510,3045
1784660001.0077,509,3041
1784660001.0100,498,3033
1784660001.0126,502,3047
1784660001.0150,490,3068
1784660001.0173,497,3050
1784660001.0196,499,3053
1784660001.0222,496,3037
1784660001.0249,496,3076
1784660001.0273,574,3052
1784660001.0297,496,3027
1784660001.0320,496,3062
1784660001.0343,495,3052
1784660001.0366,491,3064
1784660001.0389,499,3034
1784660001.0417,490,3038
1784660001.0439,496,3025
1784660001.0463,490,3019
1784660001.0490,487,3060
1784660001.0515,500,3055
1784660001.0542,496,3052
1784660001.0565,493,3049
1784660001.0592,502,3047
1784660001.0620,508,3057
1784660001.0644,500,3046
1784660001.0669,499,3054
1784660001.0696,500,3061
1784660001.0724,511,3032
1784660001.0750,502,3057
1784660001.0776,496,3044
1784660001.0802,497,3045
1784660001.0828,490,3052
1784660001.0852,497,3069
1784660001.0876,500,3030
1784660001.0901,501,3068
1784660001.0924,506,3064
1784660001.0947,501,3051
1784660001.0971,494,3057
1784660001.0995,498,3016
1784660001.1019,500,3078
1784660001.1046,498,3069
1784660001.1072,496,3046
1784660001.1095,502,3039
1784660001.1120,491,3041
1784660001.1142,494,3026
1784660001.1170,504,3054
1784660001.1196,498,3076
1784660001.1218,501,3052
1784660001.1242,497,3056
1784660001.1267,505,3071
1784660001.1293,492,3062
1784660001.1319,493,3030
1784660001.1346,500,3046
1784660001.1371,488,3042
1784660001.1395,497,3078
1784660001.1417,497,3042
1784660001.1440,503,3053
1784660001.1465,560,3055
1784660001.1490,492,3074
1784660001.1516,494,3048
1784660001.1542,506,3070
1784660001.1568,491,3036
1784660001.1594,499,3062
1784660001.1620,500,3082
