host_time_s,chA_raw,chB_env
1784660000.0000,496,3043
1784660000.0028,494,3046
1784660000.0051,514,3060
1784660000.0074,492,3053
1784660000.0098,500,3043
1784660000.0122,490,3060
1784660000.0150,502,3040
1784660000.0625,497,3038
1784660000.1186,499,3053
1784660000.1208,489,3042
1784660000.1234,498,3022
1784660000.1261,497,3050
1784660000.1283,494,3078
1784660000.1306,487,3055
1784660000.1329,489,3057
1784660000.1354,510,3073
1784660000.1378,495,3031
1784660000.1400,496,3054
1784660000.1424,509,3081
1784660000.1447,488,3034
1784660000.1473,500,3033
1784660000.1497,492,3042
1784660000.1521,507,3046
1784660000.1545,500,3052
1784660000.1568,503,3041
1784660000.1594,505,3037
1784660000.1617,506,3042
1784660000.1640,499,3040
1784660000.1662,492,3050
1784660000.1686,495,3074
1784660000.1714,500,3064
1784660000.1738,506,3065
1784660000.1760,507,3049
1784660000.1788,506,3039
1784660000.1814,502,3050
1784660000.1841,502,3052
1784660000.1867,487,3036
1784660000.1889,497,3029
1784660000.1915,490,3024
1784660000.1942,495,3037
1784660000.1965,492,3034
1784660000.1990,500,3045
1784660000.2014,498,3063
1784660000.2040,497,3044
1784660000.2068,496,3063
1784660000.2092,499,3042
1784660000.2115,492,3077
1784660000.2141,494,3053
1784660000.2164,504,3064
1784660000.2189,506,3034
1784660000.2215,496,3054
1784660000.2238,507,3032
1784660000.2265,498,3052
1784660000.2293,496,3059
1784660000.2320,514,3046
1784660000.2346,504,3032
1784660000.2371,504,3027
1784660000.2396,499,3073
1784660000.2422,509,3073
1784660000.2445,499,3057
1784660000.2467,494,3063
1784660000.2494,503,3073
1784660000.2521,497,3016
1784660000.2548,501,3073
1784660000.2570,491,3047
1784660000.2594,486,3079
1784660000.2620,504,3062
1784660000.2643,498,3039
1784660000.2666,494,3053
1784660000.2688,497,3050
1784660000.2711,496,3057
1784660000.2739,494,3059
1784660000.2764,492,3067
1784660000.2790,512,3044
1784660000.2813,497,3051
1784660000.2837,495,3058
1784660000.2865,502,3062
1784660000.2892,498,3060
1784660000.2918,494,3068
1784660000.2944,491,3073
1784660000.2970,500,3064
1784660000.2994,491,3065
1784660000.3017,504,3059
1784660000.3042,494,3060
1784660000.3067,500,3070
1784660000.3094,491,3018
1784660000.3121,503,3048
1784660000.3148,496,3067
1784660000.3174,496,3057
1784660000.3196,501,3041
1784660000.3222,502,3037
1784660000.3245,499,3064
1784660000.3269,512,3069
1784660000.3291,499,3053
1784660000.3317,506,3047
1784660000.3341,493,3057
1784660000.3365,496,3041
1784660000.3392,499,3052
1784660000.3415,504,3060
1784660000.3441,496,3066
1784660000.3468,496,3086
1784660000.3495,492,3035
1784660000.3522,512,3066
1784660000.3544,506,3061
1784660000.3572,502,3054
1784660000.3596,506,3032
1784660000.3623,491,3053
1784660000.3648,488,3038
1784660000.3672,499,3044
1784660000.3696,496,3050
1784660000.3723,498,3063
1784660000.3748,492,3038
1784660000.3773,505,3071
1784660000.3800,503,3052
1784660000.3826,495,3068
1784660000.3853,503,3077
1784660000.3880,505,3029
1784660000.3902,502,3072
1784660000.3925,509,3047
1784660000.3949,503,3043
1784660000.3976,505,3063
1784660000.4003,495,3026
1784660000.4030,499,3033
1784660000.4052,503,3049
1784660000.4077,485,3038
1784660000.4100,502,3035
1784660000.4125,498,3087
1784660000.4149,501,3084
1784660000.4176,494,3048
1784660000.4495,492,3042
1784660000.4521,497,3056
1784660000.4545,495,3030
1784660000.4570,499,3062
1784660000.4596,501,3066
1784660000.4621,497,3062
1784660000.4646,492,3065
1784660000.4674,496,3071
1784660000.4702,497,3026
1784660000.4725,496,3064
1784660000.4751,495,3052
1784660000.4776,507,3066
1784660000.4804,496,3037
1784660000.4832,498,3044
1784660000.4854,490,3030
1784660000.4882,494,3058
1784660000.4907,498,3046
1784660000.4932,502,3058
1784660000.4958,504,3044
1784660000.4983,506,3025
1784660000.5006,499,3039
1784660000.5028,501,3069
1784660000.5051,494,3062
1784660000.5073,491,3054
1784660000.5101,499,3030
1784660000.5127,506,3056
1784660000.5150,498,3009
1784660000.5177,500,3052
1784660000.5202,503,3060
1784660000.5229,491,3062
1784660000.5253,498,3040
1784660000.5280,500,3053
1784660000.5674,490,3057
1784660000.5702,499,3061
1784660000.5726,486,3061
1784660000.5754,493,3039
1784660000.5781,499,3026
1784660000.5807,502,3060
1784660000.5831,500,3057
1784660000.5859,492,3049
1784660000.5886,498,3048
1784660000.5910,496,3015
1784660000.5935,501,3030
1784660000.5962,506,3061
1784660000.5986,496,3046
1784660000.6013,495,3054
1784660000.6035,488,3050
1784660000.6062,497,3056
1784660000.6088,492,3056
1784660000.6111,488,3046
1784660000.6134,491,3055
1784660000.6160,485,3028
1784660000.6187,514,3042
1784660000.6210,490,3043
1784660000.6234,500,3055
1784660000.6256,495,3031
1784660000.6282,492,3058
1784660000.6307,504,3033
1784660000.6332,502,3073
1784660000.6359,503,3052
1784660000.6385,493,3057
1784660000.6409,495,3040
1784660000.6434,494,3046
1784660000.6462,503,3003
1784660000.6488,502,3040
1784660000.6512,496,3056
1784660000.6537,501,3044
1784660000.6560,491,3065
1784660000.6583,489,3053
1784660000.6607,488,3064
1784660000.6633,492,3069
1784660000.6655,493,3055
1784660000.6680,503,3032
1784660000.6705,495,3082
1784660000.6728,499,3052
1784660000.6753,498,3027
1784660000.6779,492,3049
1784660000.6806,489,3056
1784660000.6831,492,3046
1784660000.6858,504,3044
1784660000.6886,499,3048
1784660000.6912,494,3032
1784660000.6935,502,3063
1784660000.6960,487,3046
1784660000.6983,497,3029
1784660000.7010,499,3030
1784660000.7037,501,3054
1784660000.7062,506,3057
1784660000.7088,495,3059
1784660000.7111,504,3043
1784660000.7139,501,3041
1784660000.7162,497,3026
1784660000.7189,569,3038
1784660000.7215,502,3077
1784660000.7243,508,3049
1784660000.7265,496,3073
1784660000.7290,513,3042
1784660000.7318,505,3035
1784660000.7344,505,3021
1784660000.7368,501,3050
1784660000.7395,500,3051
1784660000.7419,495,3050
1784660000.7445,494,3053
1784660000.7472,502,3044
1784660000.7498,493,3045
1784660000.7526,501,3045
1784660000.7552,484,3057
1784660000.7576,493,3060
1784660000.7601,496,3066
1784660000.7628,505,3027
1784660000.7656,499,3039
1784660000.7679,498,3051
1784660000.7702,508,3018
1784660000.7725,489,3021
1784660000.7749,501,3040
1784660000.7776,497,3038
1784660000.7799,506,3048
1784660000.7826,498,3074
1784660000.7854,496,3043
1784660000.7880,497,3033
1784660000.7903,506,3060
1784660000.7927,509,3041
1784660000.7952,495,3070
1784660000.7978,489,3065
1784660000.8005,499,3060
1784660000.8030,503,3041
1784660000.8054,504,3058
1784660000.8079,502,3055
1784660000.8103,497,3065
1784660000.8127,484,3058
1784660000.8151,501,3057
1784660000.8175,498,3040
1784660000.8202,500,3037
1784660000.8230,492,3051
1784660000.8253,500,3053
1784660000.8275,507,3043
1784660000.8298,498,3051
1784660000.8322,501,3039
1784660000.8346,501,3019
1784660000.8368,496,3013
1784660000.8393,509,3036
1784660000.8418,489,3044
1784660000.8441,498,3041
1784660000.8468,498,3039
1784660000.8494,508,3054
1784660000.8518,507,3079
1784660000.8545,506,3066
1784660000.8572,500,3050
1784660000.8599,502,3026
1784660000.8623,504,3040
1784660000.8650,502,3040
1784660000.8673,501,3074
1784660000.8695,492,3044
1784660000.8723,505,3067
1784660000.8751,502,3029
1784660000.8777,507,3059
1784660000.8802,502,3041
1784660000.9065,492,3044
1784660000.9089,498,3052
1784660000.9115,496,3069
1784660000.9137,490,3054
1784660000.9163,498,3051
1784660000.9187,495,3054
1784660000.9214,493,3077
1784660000.9239,487,3059
1784660000.9265,492,3041
1784660000.9291,498,3024
1784660000.9313,501,3055
1784660000.9341,490,3061
1784660000.9363,490,3036
1784660000.9387,492,3071
1784660000.9414,493,3053
1784660000.9439,496,3042
1784660000.9465,497,3062
1784660000.9491,501,3058
1784660000.9518,499,3052
1784660000.9541,499,3042
1784660000.9566,496,3057
1784660000.9591,502,3046
1784660000.9613,497,3041
1784660000.9635,488,3037
1784660000.9658,503,3037
1784660000.9680,501,3047
1784660000.9706,488,3050
1784660000.9733,487,3057
1784660000.9757,505,3016
1784660000.9785,500,3041
1784660000.9812,539,3064
1784660000.9835,501,3057
1784660000.9857,489,3064
1784660000.9884,485,3062
1784660000.9911,499,3069
1784660000.9938,496,3023
1784660000.9962,496,3052
1784660000.9990,495,3066
1784660001.0017,488,3065
1784660001.0041,492,3074
1784660001.0065,501,3056
1784660001.0089,493,3050
1784660001.0112,496,3050
1784660001.0137,496,3059
1784660001.0161,501,3069
1784660001.0184,491,3037
1784660001.0211,502,3037
1784660001.0236,500,3078
1784660001.0261,499,3046
1784660001.0284,499,3037
1784660001.0311,497,3033
1784660001.0334,493,3059
1784660001.0361,495,3065
1784660001.0386,490,3024
1784660001.0411,499,3056
1784660001.0435,497,3069
1784660001.0460,492,3051
1784660001.0487,507,3054
