host_time_s,chA_raw,chB_env
1784660000.0000,494,3060
1784660000.0028,493,3052
1784660000.0052,505,3063
1784660000.0075,502,3039
1784660000.0102,497,3070
1784660000.0129,512,3051
1784660000.0155,489,3062
1784660000.0183,492,3050
1784660000.0208,490,3033
1784660000.0233,485,3059
1784660000.0256,503,3048
1784660000.0279,486,3057
1784660000.0304,500,3053
1784660000.0328,500,3033
1784660000.0354,494,3042
1784660000.0378,495,3064
1784660000.0405,498,3043
1784660000.0429,501,3079
1784660000.0451,479,3036
1784660000.0477,493,3061
1784660000.0504,498,3049
1784660000.0530,497,3047
1784660000.0557,489,3051
1784660000.0581,494,3043
1784660000.0605,500,3061
1784660000.0632,500,3072
1784660000.0656,493,3046
1784660000.0681,499,3035
1784660000.0707,499,3043
1784660000.0730,510,3058
1784660000.0756,501,3029
1784660000.0781,508,3026
1784660000.0807,493,3036
1784660000.0834,504,3070
1784660000.0856,497,3071
1784660000.0881,498,3062
1784660000.0904,490,3040
1784660000.0927,502,3043
1784660000.0951,498,3065
1784660000.0975,508,3040
1784660000.0998,492,3049
1784660000.1022,500,3039
1784660000.1046,503,3092
1784660000.1071,510,3077
1784660000.1094,505,3058
1784660000.1122,491,3047
1784660000.1145,507,3073
1784660000.1167,499,3059
1784660000.1190,493,3060
1784660000.1214,496,3033
1784660000.1238,500,3038
1784660000.1265,487,3050
1784660000.1291,499,3035
1784660000.1314,503,3043
1784660000.1341,503,3057
1784660000.1365,489,3028
1784660000.1389,503,3066
1784660000.1411,498,3044
1784660000.1437,487,3010
1784660000.1459,501,3024
1784660000.1487,490,3052
1784660000.1512,488,3061
1784660000.1535,498,3060
1784660000.1563,495,3058
1784660000.1588,499,3051
1784660000.1614,485,3056
1784660000.1640,540,3061
1784660000.1667,495,3066
1784660000.1693,494,3052
1784660000.1719,498,3056
1784660000.1743,480,3038
1784660000.1767,493,3059
1784660000.1794,499,3049
1784660000.1819,490,3053
1784660000.1843,501,3057
1784660000.1870,493,3049
1784660000.1895,494,3033
1784660000.1922,496,3041
1784660000.1947,489,3053
1784660000.1975,497,3046
1784660000.2002,499,3073
1784660000.2025,502,3037
1784660000.2049,502,3049
1784660000.2076,502,3055
1784660000.2099,489,3011
1784660000.2123,506,3031
1784660000.2148,492,3061
1784660000.2175,495,3052
1784660000.2203,501,3069
1784660000.2226,502,3038
1784660000.2249,508,3037
1784660000.2271,493,3050
1784660000.2295,505,3041
1784660000.2322,497,3059
1784660000.2348,494,3053
1784660000.2373,503,3058
1784660000.2401,502,3040
1784660000.2423,495,3051
1784660000.2448,501,3048
1784660000.2471,501,3032
1784660000.2498,505,3021
1784660000.2523,497,3031
1784660000.3078,504,3042
1784660000.3101,493,3065
1784660000.3126,503,3064
1784660000.3152,501,3077
1784660000.3180,501,3045
1784660000.3202,513,3046
1784660000.3228,506,3044
1784660000.3252,504,3054
1784660000.3276,494,3069
1784660000.3301,497,3054
1784660000.3327,499,3075
1784660000.3354,499,3017
1784660000.3381,500,3043
1784660000.3404,499,3058
1784660000.3428,502,3054
1784660000.3454,497,3041
1784660000.3480,509,3046
1784660000.3505,492,3053
1784660000.3530,496,3045
