host_time_s,chA_raw,chB_env
1784657087.9533,500,3055
1784657087.9580,500,3045
1784657087.9611,493,3034
1784657087.9640,493,3039
1784657087.9686,491,3028
1784657087.9713,491,3037
1784657087.9739,496,3072
1784657087.9853,509,3105
1784657087.9888,509,3113
1784657087.9920,510,3109
1784657088.1081,509,3106
1784657088.1107,509,3091
1784657088.1132,507,3090
1784657088.1159,502,3072
1784657088.1194,493,3064
1784657088.1218,494,3041
1784657088.1248,494,3053
1784657088.1276,494,3071
1784657088.1302,495,3075
1784657088.1327,494,3036
1784657088.1354,493,3040
1784657088.1379,502,3083
1784657088.1403,505,3086
1784657088.1432,506,3084
1784657088.1461,501,3069
1784657088.1487,502,3057
1784657088.1512,500,3092
1784657088.1546,505,3048
1784657088.1581,497,3049
1784657088.1611,498,3033
1784657088.1636,498,3063
1784657088.1669,498,3063
1784657088.1698,497,3051
1784657088.1721,500,3056
1784657088.1930,499,3050
1784657088.1974,500,3046
1784657088.2002,496,3026
1784657088.2067,495,2997
1784657088.2354,491,3024
1784657088.2397,495,3046
1784657088.2509,499,3080
1784657088.2543,507,3087
1784657088.2681,502,3083
1784657088.2732,505,3069
1784657088.2798,502,3072
1784657088.2827,501,3062
1784657088.2864,497,3053
1784657088.2906,500,3052
1784657088.2949,498,3043
1784657088.3092,507,3122
1784657088.3234,506,3092
1784657088.3291,505,3093
1784657088.3353,501,3064
1784657088.3419,500,3053
1784657088.3481,498,3048
1784657088.3564,498,3056
1784657088.3616,497,3037
1784657088.3678,494,3029
1784657088.3733,494,3045
1784657088.3799,493,3039
1784657088.3834,497,3034
1784657088.3877,490,3044
1784657088.3918,488,3034
1784657088.3946,492,3014
1784657088.3972,494,3038
1784657088.3997,493,3047
1784657088.4026,495,3099
1784657088.4056,500,3061
1784657088.4095,498,3058
1784657088.4117,498,3051
1784657088.4147,497,3048
1784657088.4173,495,3050
1784657088.4204,496,3044
1784657088.4232,493,3035
1784657088.4269,498,3051
1784657088.4377,497,3047
1784657088.4440,496,3037
1784657088.4466,495,3001
1784657088.4580,495,3029
1784657088.4622,494,3023
1784657088.4693,491,3020
1784657088.4722,489,3011
1784657088.4752,496,3038
1784657088.4785,496,3052
1784657088.4820,498,3064
1784657088.4904,499,3068
1784657088.4928,501,3062
1784657088.5000,498,3055
1784657088.5058,498,3042
1784657088.5093,497,3039
1784657088.5157,495,3040
1784657088.5230,494,3038
1784657088.5261,492,3025
1784657088.5329,493,3032
1784657088.5384,491,3024
1784657088.5446,493,3015
1784657088.5472,491,3023
1784657088.5509,496,3047
1784657088.5544,493,3040
1784657088.5568,495,3035
1784657088.5591,497,3028
1784657088.5614,494,3036
